MOF,ASA_m^2/g,AV_Volume_fraction,AV_cm^3/g,POAV_Volume_fraction,POAV_cm^3/g,Channel Dimensionality,Working,TSN,Loged selec,vertice,edge,topo,di,df,dif
m415_fixedL_p2_4c_square_o54_4c_square_cdz,780.194,0.53026,0.405586,0.41322,0.316064,2,1.709187375,4.048914462,2.368911988,square,square,cdz,4.65125,3.79137,4.65125
m7_4c_square_o567_4c_square_cdz,0,0.53126,0.40251,0.44964,0.34067,2,3.101353612,7.343626787,2.367877935,square,square,cdz,4.72139,3.18162,4.72139
m38_4c_square_o96_4c_square_sse,0,0.4537,0.332427,0.025,0.0183175,1,0.515392986,1.220233405,2.367578602,square,square,sse,3.8476,3.16244,3.8476
m353_fixedL_n2_4c_square_o223_4c_tet_pts,262.477,0.51974,0.289016,0.38486,0.214012,1,1.802648553,4.266914917,2.367025402,square,tet,pts,5.17948,3.71187,5.10383
m353_fixedL_n2_4c_square_o113_4c_square_mot,257.778,0.47436,0.209258,0.36436,0.160733,2,1.311120692,3.100291956,2.364612179,square,square,mot,4.76657,3.69301,4.76103
m431_6c_oct_o113_4c_square_soc,1017.63,0.59754,0.39271,0.45368,0.298163,3,2.393462473,5.65474237,2.362578245,oct,square,soc,6.35758,4.91207,6.33683
m2_4c_square_o47_4c_square_cdz,0,0.53136,0.353557,0.43838,0.29169,2,1.573626328,3.716533983,2.361763982,square,square,cdz,4.83005,3.18723,4.70437
m26_n2_8c_o524_2c_bcu,0,0.52184,0.347879,0.35258,0.235043,1,1.920724213,4.534685098,2.360924628,8c,2c,bcu,6.09388,3.40661,6.09341
m431_6c_oct_o223_4c_tet_iac,811.206,0.5773,0.376624,0.43682,0.284977,3,1.527364449,3.602354084,2.358542577,oct,tet,iac,6.39013,4.16178,5.95497
m205_6c_oct_o223_4c_tet_iac,0,0.49952,0.28884,0.29926,0.173043,2,1.069582069,2.521981734,2.357913251,oct,tet,iac,4.96164,3.13518,4.96164
m350_4c_square_o446_2c_lvt,9.74751,0.32998,0.212209,0.10222,0.0657373,1,0.536308887,1.263602614,2.356109781,square,2c,lvt,4.1694,3.75479,4.10311
m294_fixedH_8c_o307_n1_2c_bcu,1399.49,0.62346,0.563054,0.5291,0.477836,3,4.477030291,10.54030047,2.354306267,8c,2c,bcu,8.58224,5.18529,7.69627
m335_8c_o364_p1_2c_bcu,0,0.54742,0.36713,0.38672,0.259355,2,1.663556845,3.915790862,2.35386658,8c,2c,bcu,4.6169,3.48625,4.56449
m440_6c_oct_o223_4c_tet_iac,0,0.48494,0.269621,0.30282,0.168364,3,1.424385913,3.34826904,2.35067548,oct,tet,iac,5.52079,3.19935,5.37903
m109_6c_oct_o223_4c_tet_toc,0,0.46946,0.240775,0.32456,0.166459,3,1.031263068,2.422803181,2.349355132,oct,tet,toc,5.22129,3.30228,5.22129
m415_fixedL_p2_4c_square_o146_4c_square_cdz,1067.36,0.57626,0.467003,0.49876,0.404197,3,5.151357427,12.09651352,2.348218638,square,square,cdz,5.86048,3.8921,5.86048
m21_4c_square_o143_4c_square_cdz,0,0.52696,0.339564,0.41606,0.268102,1,2.53661821,5.954807255,2.347537848,square,square,cdz,4.14083,3.00379,4.09396
m333_6c_trp_o216_6c_oct_nia,0,0.48258,0.274779,0.34786,0.19807,1,0.893775268,2.093652223,2.342481716,trp,oct,nia,4.75589,3.18566,4.75589
m329_fixedH_p3_6c_oct_o240_4c_tet_toc,749.867,0.59286,0.308412,0.47934,0.249358,3,1.83727136,4.302017827,2.341525547,oct,tet,toc,7.72732,5.33051,7.61053
m415_fixedL_p2_4c_square_o38_4c_square_cdz,0,0.59732,0.524942,0.5124,0.450312,2,3.602798748,8.431609307,2.340294281,square,square,cdz,5.51024,3.63285,5.42837
m375_p1_6c_trp_o298_n1_2c_acs,1533.48,0.65016,0.670108,0.5354,0.551827,1,4.897522476,11.4604046,2.340041246,trp,2c,acs,9.54085,6.14078,9.54085
m21_4c_square_o175_4c_square_cdz,0,0.5826,0.440791,0.47902,0.362423,1,2.130342386,4.98235619,2.338758419,square,square,cdz,5.48907,3.49959,5.45648
m193_fixedH_8c_o224_4c_square_sqc,63.8024,0.47902,0.312896,0.26856,0.175424,1,1.499190417,3.503665553,2.337038386,8c,square,sqc,5.05593,3.86979,4.53843
m224_4c_tet_o245_4c_square_pth,818.785,0.56494,0.44919,0.4662,0.370681,3,3.218379011,7.517080719,2.335672925,tet,square,pth,5.3627,3.92352,5.3627
m363_n2_8c_o307_n1_2c_bcu,787.615,0.5477,0.455004,0.40308,0.33486,2,3.030824941,7.076146966,2.334726388,8c,2c,bcu,5.63107,3.76172,5.62643
m415_fixedL_p2_4c_square_o109_4c_square_mot,656.224,0.47792,0.282405,0.39208,0.231681,1,1.538700063,3.592008412,2.334443534,square,square,mot,5.0153,4.37188,4.96555
m10_n1_4c_tet_o113_4c_square_pth,0,0.54674,0.472982,0.44542,0.385331,3,3.717707723,8.668688509,2.33172943,tet,square,pth,4.86296,3.24038,4.34006
m415_fixedL_p2_4c_square_o45_4c_square_mot,1836.36,0.6326,0.57341,0.58302,0.528469,3,4.721425384,11.0051192,2.330889149,square,square,mot,5.95662,5.22328,5.87379
m478_fixedH_p2_4c_square_o233_4c_square_cdz,1198.32,0.5851,0.500979,0.49508,0.423901,3,4.490356779,10.45834032,2.329066671,square,square,cdz,5.68506,3.83717,5.68506
m39_fixedH_p2_6c_oct_o304_2c_bcs,1683.64,0.67966,0.494469,0.60642,0.441185,3,4.476196161,10.42070825,2.328027609,oct,2c,bcs,8.35948,5.53052,7.4163
m271_6c_trp_o548_2c_acs,0,0.48368,0.314235,0.31884,0.207142,1,1.469882209,3.421396826,2.32766735,trp,2c,acs,4.88384,3.494,4.745
m206_12c_cuo_o263_4c_tet_edc,1082.51,0.62014,0.458996,0.51358,0.380126,3,2.726510256,6.345553317,2.327353547,cuo,tet,edc,12.42496,6.89626,12.42432
m391_6c_oct_o263_4c_tet_gar,268.321,0.46636,0.234826,0.2958,0.148944,3,1.022786171,2.380381297,2.327349904,oct,tet,gar,5.37622,3.74153,5.37622
m3_4c_square_o566_4c_square_cdz,0,0.53748,0.405297,0.42,0.316709,3,1.646969625,3.832673826,2.327106564,square,square,cdz,5.22455,3.17074,5.22455
m473_4c_square_o83_4c_square_cdz,0,0.1923,0.0737799,0.0754,0.0289288,1,0.150024245,0.348941937,2.325903634,square,square,cdz,3.50377,3.33755,3.50377
m122_6c_oct_o483_2c_pcu,0,0.52272,0.395406,0.3739,0.282833,3,2.184112972,5.078933576,2.325398751,oct,2c,pcu,4.53337,3.39679,4.53337
